0.000    total_energy       0.024003715545 [eV/u.c.]
0.010    total_energy       0.023715125670 [eV/u.c.]
0.020    total_energy       0.022857055556 [eV/u.c.]
0.030    total_energy       0.021452603730 [eV/u.c.]
0.040    total_energy       0.019540267742 [eV/u.c.]
0.050    total_energy       0.017173944159 [eV/u.c.]
0.060    total_energy       0.014422928569 [eV/u.c.]
0.070    total_energy       0.011371915577 [eV/u.c.]
0.080    total_energy       0.008120998810 [eV/u.c.]
0.090    total_energy       0.004785670912 [eV/u.c.]
0.100    total_energy       0.001496823548 [eV/u.c.]
0.110    total_energy      -0.001599252598 [eV/u.c.]
0.120    total_energy      -0.004340867823 [eV/u.c.]
0.130    total_energy      -0.006550933405 [eV/u.c.]
0.140    total_energy      -0.008036961601 [eV/u.c.]
0.150    total_energy      -0.008591065652 [eV/u.c.]
0.160    total_energy      -0.007989959775 [eV/u.c.]
0.170    total_energy      -0.005994959172 [eV/u.c.]
0.180    total_energy      -0.002351980023 [eV/u.c.]
0.190    total_energy       0.003208460510 [eV/u.c.]
0.200    total_energy       0.010971244285 [eV/u.c.]
