0.000    total_energy      -0.025324240381 [eV/u.c.]
0.010    total_energy      -0.025476809759 [eV/u.c.]
0.020    total_energy      -0.025927659716 [eV/u.c.]
0.030    total_energy      -0.026656215716 [eV/u.c.]
0.040    total_energy      -0.027628186867 [eV/u.c.]
0.050    total_energy      -0.028795565919 [eV/u.c.]
0.060    total_energy      -0.030096629266 [eV/u.c.]
0.070    total_energy      -0.031455936945 [eV/u.c.]
0.080    total_energy      -0.032784332637 [eV/u.c.]
0.090    total_energy      -0.033978943663 [eV/u.c.]
0.100    total_energy      -0.034923180991 [eV/u.c.]
0.110    total_energy      -0.035486739228 [eV/u.c.]
0.120    total_energy      -0.035525596628 [eV/u.c.]
0.130    total_energy      -0.034882015086 [eV/u.c.]
0.140    total_energy      -0.033384540140 [eV/u.c.]
0.150    total_energy      -0.030848000971 [eV/u.c.]
0.160    total_energy      -0.027073510405 [eV/u.c.]
0.170    total_energy      -0.021848464908 [eV/u.c.]
0.180    total_energy      -0.014946544590 [eV/u.c.]
0.190    total_energy      -0.006127713207 [eV/u.c.]
0.200    total_energy       0.004861781846 [eV/u.c.]
