# 野村 昭一郎
# チタン酸バリウムの熱伝導について On The Thermal Conductivity of Barium Titanate
# 東京大學理工學研究所報告 6, 117-119 (1952)
#
# I. Yoshida, S. Nomura, S. Sawada. J. Phys. Soc. Japan, 13 (1958), p. 1550 ???
#
# degree-Celsius     cal/cm/sec/deg
##
 46.452241981235   2388.712360898974
 65.31406829587607 2413.3005127645642
 75.02795657866027 2411.213997381627
 90.75387300894612 2472.2752563822814
 97.02160157102335 2377.8502072878023

110.11482653283875 2117.281256818677
122.41094806895047 2171.9193214051925
136.6919866899411  2147.3720816059345
147.27252891119355 2195.2187431813218
159.85026183722454 2228.316604843988
175.2891119354135  2282.279620336024
