0.000    total_energy      -0.025324240381 [eV/u.c.]
0.010    total_energy      -0.025592095020 [eV/u.c.]
0.020    total_energy      -0.026388437305 [eV/u.c.]
0.030    total_energy      -0.027691602341 [eV/u.c.]
0.040    total_energy      -0.029465481968 [eV/u.c.]
0.050    total_energy      -0.031659524764 [eV/u.c.]
0.060    total_energy      -0.034208736042 [eV/u.c.]
0.070    total_energy      -0.037033677852 [eV/u.c.]
0.080    total_energy      -0.040040468979 [eV/u.c.]
0.090    total_energy      -0.043120784947 [eV/u.c.]
0.100    total_energy      -0.046151858015 [eV/u.c.]
0.110    total_energy      -0.048996477176 [eV/u.c.]
0.120    total_energy      -0.051502988164 [eV/u.c.]
0.130    total_energy      -0.053505293445 [eV/u.c.]
0.140    total_energy      -0.054822852223 [eV/u.c.]
0.150    total_energy      -0.055260680439 [eV/u.c.]
0.160    total_energy      -0.054609350770 [eV/u.c.]
0.170    total_energy      -0.052644992628 [eV/u.c.]
0.180    total_energy      -0.049129292163 [eV/u.c.]
0.190    total_energy      -0.043809492261 [eV/u.c.]
0.200    total_energy      -0.036418392544 [eV/u.c.]
