0.000    total_energy       0.024003715545 [eV/u.c.]
0.010    total_energy       0.023671819831 [eV/u.c.]
0.020    total_energy       0.022684018479 [eV/u.c.]
0.030    total_energy       0.021063968853 [eV/u.c.]
0.040    total_energy       0.018851099893 [eV/u.c.]
0.050    total_energy       0.016100612116 [eV/u.c.]
0.060    total_energy       0.012883477615 [eV/u.c.]
0.070    total_energy       0.009286440060 [eV/u.c.]
0.080    total_energy       0.005412014697 [eV/u.c.]
0.090    total_energy       0.001378488348 [eV/u.c.]
0.100    total_energy      -0.002680080590 [eV/u.c.]
0.110    total_energy      -0.006613862141 [eV/u.c.]
0.120    total_energy      -0.010257254755 [eV/u.c.]
0.130    total_energy      -0.013428885305 [eV/u.c.]
0.140    total_energy      -0.015931609088 [eV/u.c.]
0.150    total_energy      -0.017552509823 [eV/u.c.]
0.160    total_energy      -0.018062899656 [eV/u.c.]
0.170    total_energy      -0.017218319153 [eV/u.c.]
0.180    total_energy      -0.014758537306 [eV/u.c.]
0.190    total_energy      -0.010407551533 [eV/u.c.]
0.200    total_energy      -0.003873587670 [eV/u.c.]
