u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00000000	    etotal   -1.3185649729E+02
u_x=,u_y=,u_z=   0.00599069   0.00599069   0.00599069	    etotal1  -1.3185649763E+02
u_x=,u_y=,u_z=   0.01198137   0.01198137   0.01198137	    etotal2  -1.3185649863E+02
u_x=,u_y=,u_z=   0.01797206   0.01797206   0.01797206	    etotal3  -1.3185650024E+02
u_x=,u_y=,u_z=   0.02396274   0.02396274   0.02396274	    etotal4  -1.3185650237E+02
u_x=,u_y=,u_z=   0.02995343   0.02995343   0.02995343	    etotal5  -1.3185650488E+02
u_x=,u_y=,u_z=   0.03594411   0.03594411   0.03594411	    etotal6  -1.3185650763E+02
u_x=,u_y=,u_z=   0.04193480   0.04193480   0.04193480	    etotal7  -1.3185651041E+02
u_x=,u_y=,u_z=   0.04792548   0.04792548   0.04792548	    etotal8  -1.3185651300E+02
u_x=,u_y=,u_z=   0.05391617   0.05391617   0.05391617	    etotal9  -1.3185651515E+02
u_x=,u_y=,u_z=   0.05990685   0.05990685   0.05990685	    etotal10 -1.3185651657E+02
u_x=,u_y=,u_z=   0.06589754   0.06589754   0.06589754	    etotal11 -1.3185651698E+02
u_x=,u_y=,u_z=   0.07188822   0.07188822   0.07188822	    etotal12 -1.3185651604E+02
u_x=,u_y=,u_z=   0.07787891   0.07787891   0.07787891	    etotal13 -1.3185651343E+02
u_x=,u_y=,u_z=   0.08386959   0.08386959   0.08386959	    etotal14 -1.3185650880E+02
u_x=,u_y=,u_z=   0.08986028   0.08986028   0.08986028	    etotal15 -1.3185650180E+02
u_x=,u_y=,u_z=   0.09585096   0.09585096   0.09585096	    etotal16 -1.3185649207E+02
u_x=,u_y=,u_z=   0.10184165   0.10184165   0.10184165	    etotal17 -1.3185647925E+02
u_x=,u_y=,u_z=   0.10783233   0.10783233   0.10783233	    etotal18 -1.3185646298E+02
u_x=,u_y=,u_z=   0.11382302   0.11382302   0.11382302	    etotal19 -1.3185644291E+02
u_x=,u_y=,u_z=   0.11981370   0.11981370   0.11981370	    etotal20 -1.3185641870E+02
