u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00000000	    etotal   -1.3185649729E+02
u_x=,u_y=,u_z=   0.00599069   0.00599069   0.00000000	    etotal1  -1.3185649751E+02
u_x=,u_y=,u_z=   0.01198137   0.01198137   0.00000000	    etotal2  -1.3185649818E+02
u_x=,u_y=,u_z=   0.01797206   0.01797206   0.00000000	    etotal3  -1.3185649924E+02
u_x=,u_y=,u_z=   0.02396274   0.02396274   0.00000000	    etotal4  -1.3185650064E+02
u_x=,u_y=,u_z=   0.02995343   0.02995343   0.00000000	    etotal5  -1.3185650229E+02
u_x=,u_y=,u_z=   0.03594411   0.03594411   0.00000000	    etotal6  -1.3185650408E+02
u_x=,u_y=,u_z=   0.04193480   0.04193480   0.00000000	    etotal7  -1.3185650588E+02
u_x=,u_y=,u_z=   0.04792548   0.04792548   0.00000000	    etotal8  -1.3185650753E+02
u_x=,u_y=,u_z=   0.05391617   0.05391617   0.00000000	    etotal9  -1.3185650885E+02
u_x=,u_y=,u_z=   0.05990685   0.05990685   0.00000000	    etotal10 -1.3185650964E+02
u_x=,u_y=,u_z=   0.06589754   0.06589754   0.00000000	    etotal11 -1.3185650970E+02
u_x=,u_y=,u_z=   0.07188822   0.07188822   0.00000000	    etotal12 -1.3185650878E+02
u_x=,u_y=,u_z=   0.07787891   0.07787891   0.00000000	    etotal13 -1.3185650665E+02
u_x=,u_y=,u_z=   0.08386959   0.08386959   0.00000000	    etotal14 -1.3185650305E+02
u_x=,u_y=,u_z=   0.08986028   0.08986028   0.00000000	    etotal15 -1.3185649771E+02
u_x=,u_y=,u_z=   0.09585096   0.09585096   0.00000000	    etotal16 -1.3185649035E+02
u_x=,u_y=,u_z=   0.10184165   0.10184165   0.00000000	    etotal17 -1.3185648071E+02
u_x=,u_y=,u_z=   0.10783233   0.10783233   0.00000000	    etotal18 -1.3185646850E+02
u_x=,u_y=,u_z=   0.11382302   0.11382302   0.00000000	    etotal19 -1.3185645344E+02
u_x=,u_y=,u_z=   0.11981370   0.11981370   0.00000000	    etotal20 -1.3185643524E+02
