u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00000000	    etotal   -1.3185649729E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00938895	    etotal1  -1.3185649757E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.01877789	    etotal2  -1.3185649839E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.02816684	    etotal3  -1.3185649969E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.03755579	    etotal4  -1.3185650140E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.04694473	    etotal5  -1.3185650339E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.05633368	    etotal6  -1.3185650552E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.06572263	    etotal7  -1.3185650760E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.07511157	    etotal8  -1.3185650944E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.08450052	    etotal9  -1.3185651080E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.09388947	    etotal10 -1.3185651143E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.10327841	    etotal11 -1.3185651108E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.11266736	    etotal12 -1.3185650947E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.12205630	    etotal13 -1.3185650633E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.13144525	    etotal14 -1.3185650136E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.14083420	    etotal15 -1.3185649430E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.15022314	    etotal16 -1.3185648486E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.15961209	    etotal17 -1.3185647279E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.16900104	    etotal18 -1.3185645784E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.17838998	    etotal19 -1.3185643977E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.18777893	    etotal20 -1.3185641837E+02
