u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00000000	    etotal   -1.3185649729E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.00741216	    etotal1  -1.3185649746E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.01482432	    etotal2  -1.3185649796E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.02223648	    etotal3  -1.3185649877E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.02964864	    etotal4  -1.3185649981E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.03706080	    etotal5  -1.3185650101E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.04447296	    etotal6  -1.3185650226E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.05188512	    etotal7  -1.3185650345E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.05929729	    etotal8  -1.3185650442E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.06670945	    etotal9  -1.3185650501E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.07412161	    etotal10 -1.3185650504E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.08153377	    etotal11 -1.3185650431E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.08894593	    etotal12 -1.3185650262E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.09635809	    etotal13 -1.3185649972E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.10377025	    etotal14 -1.3185649540E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.11118241	    etotal15 -1.3185648941E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.11859457	    etotal16 -1.3185648150E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.12600673	    etotal17 -1.3185647143E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.13341889	    etotal18 -1.3185645895E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.14083105	    etotal19 -1.3185644383E+02
u_x=,u_y=,u_z=   0.00000000   0.00000000   0.14824321	    etotal20 -1.3185642583E+02
