0.000    total_energy       0.024003715545 [eV/u.c.]
0.010    total_energy       0.023674096646 [eV/u.c.]
0.020    total_energy       0.022692939461 [eV/u.c.]
0.030    total_energy       0.021083342516 [eV/u.c.]
0.040    total_energy       0.018883803362 [eV/u.c.]
0.050    total_energy       0.016148218566 [eV/u.c.]
0.060    total_energy       0.012945883714 [eV/u.c.]
0.070    total_energy       0.009361493414 [eV/u.c.]
0.080    total_energy       0.005495141290 [eV/u.c.]
0.090    total_energy       0.001462319989 [eV/u.c.]
0.100    total_energy      -0.002606078826 [eV/u.c.]
0.110    total_energy      -0.006563764471 [eV/u.c.]
0.120    total_energy      -0.010249047242 [eV/u.c.]
0.130    total_energy      -0.013484838418 [eV/u.c.]
0.140    total_energy      -0.016078650256 [eV/u.c.]
0.150    total_energy      -0.017822595995 [eV/u.c.]
0.160    total_energy      -0.018493389855 [eV/u.c.]
0.170    total_energy      -0.017852347035 [eV/u.c.]
0.180    total_energy      -0.015645383717 [eV/u.c.]
0.190    total_energy      -0.011603017063 [eV/u.c.]
0.200    total_energy      -0.005440365214 [eV/u.c.]
