0.000    total_energy      -0.025324240381 [eV/u.c.]
0.010    total_energy      -0.025577010967 [eV/u.c.]
0.020    total_energy      -0.026328152769 [eV/u.c.]
0.030    total_energy      -0.027556155916 [eV/u.c.]
0.040    total_energy      -0.029225170623 [eV/u.c.]
0.050    total_energy      -0.031285007191 [eV/u.c.]
0.060    total_energy      -0.033671136007 [eV/u.c.]
0.070    total_energy      -0.036304687543 [eV/u.c.]
0.080    total_energy      -0.039092452360 [eV/u.c.]
0.090    total_energy      -0.041926881102 [eV/u.c.]
0.100    total_energy      -0.044686084501 [eV/u.c.]
0.110    total_energy      -0.047233833372 [eV/u.c.]
0.120    total_energy      -0.049419558621 [eV/u.c.]
0.130    total_energy      -0.051078351235 [eV/u.c.]
0.140    total_energy      -0.052030962289 [eV/u.c.]
0.150    total_energy      -0.052083802946 [eV/u.c.]
0.160    total_energy      -0.051028944452 [eV/u.c.]
0.170    total_energy      -0.048644118141 [eV/u.c.]
0.180    total_energy      -0.044692715430 [eV/u.c.]
0.190    total_energy      -0.038923787827 [eV/u.c.]
0.200    total_energy      -0.031072046922 [eV/u.c.]
