#   u=   0.5128925725977	    etotal21 -1.3136305690E+02	     acell21  7.6183861088E+00  7.6183861088E+00  7.6183861088E+00 Bohr	     rprim21  9.9998771972E-01  3.5043118114E-03  3.5043118114E-03	  ucvol=  4.4213711744E+02 Bohr^3
#   u=   0.5381934968016	    etotal22 -1.3136270906E+02	     acell22  7.6251132479E+00  7.6251132479E+00  7.6251132479E+00 Bohr	     rprim22  9.9998492497E-01  3.8826423303E-03  3.8826423303E-03	  ucvol=  4.4330197113E+02 Bohr^3
#   u=   0.5636142213249	    etotal23 -1.3136231700E+02	     acell23  7.6320341813E+00  7.6320341813E+00  7.6320341813E+00 Bohr	     rprim23  9.9998165022E-01  4.2836451121E-03  4.2836451121E-03	  ucvol=  4.4450143951E+02 Bohr^3
#   u=   0.5891613628177	    etotal24 -1.3136188078E+02	     acell24  7.6391679072E+00  7.6391679072E+00  7.6391679072E+00 Bohr	     rprim24  9.9997783995E-01  4.7074203429E-03  4.7074203429E-03	  ucvol=  4.4573887430E+02 Bohr^3
#   u=   0.6148419869783	    etotal25 -1.3136140057E+02	     acell25  7.6465335456E+00  7.6465335456E+00  7.6465335456E+00 Bohr	     rprim25  9.9997343751E-01  5.1538468470E-03  5.1538468470E-03	  ucvol=  4.4701767403E+02 Bohr^3
#   u=   0.6406626700888	    etotal26 -1.3136087659E+02	     acell26  7.6541489916E+00  7.6541489916E+00  7.6541489916E+00 Bohr	     rprim26  9.9996838478E-01  5.6226968034E-03  5.6226968034E-03	  ucvol=  4.4834104849E+02 Bohr^3
#   u=   0.6666299097931	    etotal27 -1.3136030908E+02	     acell27  7.6620313689E+00  7.6620313689E+00  7.6620313689E+00 Bohr	     rprim27  9.9996262393E-01  6.1135396712E-03  6.1135396712E-03	  ucvol=  4.4971210309E+02 Bohr^3
#   u=   0.6927505395671	    etotal28 -1.3135969829E+02	     acell28  7.6701987320E+00  7.6701987320E+00  7.6701987320E+00 Bohr	     rprim28  9.9995609807E-01  6.6257805087E-03  6.6257805087E-03	  ucvol=  4.5113414131E+02 Bohr^3
#   u=   0.7190306076636	    etotal29 -1.3135904451E+02	     acell29  7.6786631870E+00  7.6786631870E+00  7.6786631870E+00 Bohr	     rprim29  9.9994875050E-01  7.1587842231E-03  7.1587842231E-03	  ucvol=  4.5260945021E+02 Bohr^3
#   u=   0.7454764372444	    etotal30 -1.3135834805E+02	     acell30  7.6874416999E+00  7.6874416999E+00  7.6874416999E+00 Bohr	     rprim30  9.9994052727E-01  7.7117419474E-03  7.7117419474E-03	  ucvol=  4.5414121325E+02 Bohr^3
#   u=   0.7720937223761	    etotal31 -1.3135760923E+02	     acell31  7.6965470657E+00  7.6965470657E+00  7.6965470657E+00 Bohr	     rprim31  9.9993137897E-01  8.2836389041E-03  8.2836389041E-03	  ucvol=  4.5573192253E+02 Bohr^3
#   u=   0.7988880352983	    etotal32 -1.3135682838E+02	     acell32  7.7059916899E+00  7.7059916899E+00  7.7059916899E+00 Bohr	     rprim32  9.9992126093E-01  8.8733291061E-03  8.8733291061E-03	  ucvol=  4.5738404630E+02 Bohr^3
#   u=   0.8258647152386	    etotal33 -1.3135600588E+02	     acell33  7.7157878377E+00  7.7157878377E+00  7.7157878377E+00 Bohr	     rprim33  9.9991013145E-01  9.4796893670E-03  9.4796893670E-03	  ucvol=  4.5910006983E+02 Bohr^3
#   u=   0.8530285401947	    etotal34 -1.3135514211E+02	     acell34  7.7259450875E+00  7.7259450875E+00  7.7259450875E+00 Bohr	     rprim34  9.9989795478E-01  1.0101485946E-02  1.0101485946E-02	  ucvol=  4.6088204945E+02 Bohr^3
#   u=   0.8803837771639	    etotal35 -1.3135423745E+02	     acell35  7.7364703468E+00  7.7364703468E+00  7.7364703468E+00 Bohr	     rprim35  9.9988470354E-01  1.0737309269E-02  1.0737309269E-02	  ucvol=  4.6273161801E+02 Bohr^3
#   u=   0.9079345284851	    etotal36 -1.3135329236E+02	     acell36  7.7473699130E+00  7.7473699130E+00  7.7473699130E+00 Bohr	     rprim36  9.9987035304E-01  1.1385892658E-02  1.1385892658E-02	  ucvol=  4.6465033510E+02 Bohr^3
#   u=   0.9356841991596	    etotal37 -1.3135230731E+02	     acell37  7.7586513113E+00  7.7586513113E+00  7.7586513113E+00 Bohr	     rprim37  9.9985488887E-01  1.2045771242E-02  1.2045771242E-02	  ucvol=  4.6664003980E+02 Bohr^3
#   u=   0.9636360756136	    etotal38 -1.3135128281E+02	     acell38  7.7703156133E+00  7.7703156133E+00  7.7703156133E+00 Bohr	     rprim38  9.9983830567E-01  1.2715394495E-02  1.2715394495E-02	  ucvol=  4.6870146197E+02 Bohr^3
#   u=   0.9917926754127	    etotal39 -1.3135021944E+02	     acell39  7.7823715987E+00  7.7823715987E+00  7.7823715987E+00 Bohr	     rprim39  9.9982060444E-01  1.3393262065E-02  1.3393262065E-02	  ucvol=  4.7083676936E+02 Bohr^3
#   u=   1.0201560639028	    etotal40 -1.3134911781E+02	     acell40  7.7948169405E+00  7.7948169405E+00  7.7948169405E+00 Bohr	     rprim40  9.9980179727E-01  1.4077751646E-02  1.4077751646E-02	  ucvol=  4.7304617793E+02 Bohr^3
