     acell    1.5064738506E+01  7.5323692530E+00  7.5323692530E+00 Bohr
   1   1  0.30748243669424D-01  0.00000000000000D+00
   2   1  0.00000000000000D+00  0.00000000000000D+00
   3   1  0.00000000000000D+00  0.00000000000000D+00
   1   2  0.00000000000000D+00  0.00000000000000D+00
   2   2  0.00000000000000D+00  0.00000000000000D+00
   3   2  0.00000000000000D+00  0.00000000000000D+00
   1   3 -0.14188684206221D-01  0.00000000000000D+00
   2   3  0.00000000000000D+00  0.00000000000000D+00
   3   3  0.00000000000000D+00  0.00000000000000D+00
   1   4  0.00000000000000D+00  0.00000000000000D+00
   2   4  0.00000000000000D+00  0.00000000000000D+00
   3   4  0.00000000000000D+00  0.00000000000000D+00
   1   5  0.00000000000000D+00  0.00000000000000D+00
   2   5  0.00000000000000D+00  0.00000000000000D+00
   3   5  0.00000000000000D+00  0.00000000000000D+00
   1   6 -0.30748243669424D-01  0.00000000000000D+00
   2   6  0.00000000000000D+00  0.00000000000000D+00
   3   6  0.00000000000000D+00  0.00000000000000D+00
   1   7  0.00000000000000D+00  0.00000000000000D+00
   2   7  0.00000000000000D+00  0.00000000000000D+00
   3   7  0.00000000000000D+00  0.00000000000000D+00
   1   8  0.14188684206221D-01  0.00000000000000D+00
   2   8  0.00000000000000D+00  0.00000000000000D+00
   3   8  0.00000000000000D+00  0.00000000000000D+00
   1   9  0.00000000000000D+00  0.00000000000000D+00
   2   9  0.00000000000000D+00  0.00000000000000D+00
   3   9  0.00000000000000D+00  0.00000000000000D+00
   1  10  0.00000000000000D+00  0.00000000000000D+00
   2  10  0.00000000000000D+00  0.00000000000000D+00
   3  10  0.00000000000000D+00  0.00000000000000D+00
   1  13 -0.92377586559389D-07  0.00000000000000D+00
   2  13 -0.88542167882288D-07  0.00000000000000D+00
   3  13 -0.88542167882288D-07  0.00000000000000D+00
   1  14  0.00000000000000D+00  0.00000000000000D+00
   2  14  0.00000000000000D+00  0.00000000000000D+00
   3  14  0.00000000000000D+00  0.00000000000000D+00
   1   1 -0.11832913578315D-29  0.00000000000000D+00
   2   1  0.71206563074927D-02  0.00000000000000D+00
   3   1  0.00000000000000D+00  0.00000000000000D+00
   1   2  0.00000000000000D+00  0.00000000000000D+00
   2   2  0.00000000000000D+00  0.00000000000000D+00
   3   2  0.00000000000000D+00  0.00000000000000D+00
   1   3  0.00000000000000D+00  0.00000000000000D+00
   2   3 -0.78370725993830D-03  0.00000000000000D+00
   3   3  0.00000000000000D+00  0.00000000000000D+00
   1   4  0.00000000000000D+00  0.00000000000000D+00
   2   4  0.00000000000000D+00  0.00000000000000D+00
   3   4  0.00000000000000D+00  0.00000000000000D+00
   1   5  0.00000000000000D+00  0.00000000000000D+00
   2   5  0.00000000000000D+00  0.00000000000000D+00
   3   5  0.00000000000000D+00  0.00000000000000D+00
   1   6  0.11832913578315D-29  0.00000000000000D+00
   2   6 -0.71206563074927D-02  0.00000000000000D+00
   3   6  0.00000000000000D+00  0.00000000000000D+00
   1   7  0.00000000000000D+00  0.00000000000000D+00
   2   7  0.00000000000000D+00  0.00000000000000D+00
   3   7  0.00000000000000D+00  0.00000000000000D+00
   1   8  0.00000000000000D+00  0.00000000000000D+00
   2   8  0.78370725993830D-03  0.00000000000000D+00
   3   8  0.00000000000000D+00  0.00000000000000D+00
   1   9  0.00000000000000D+00  0.00000000000000D+00
   2   9  0.00000000000000D+00  0.00000000000000D+00
   3   9  0.00000000000000D+00  0.00000000000000D+00
   1  10  0.00000000000000D+00  0.00000000000000D+00
   2  10  0.00000000000000D+00  0.00000000000000D+00
   3  10  0.00000000000000D+00  0.00000000000000D+00
   1  13 -0.74233750389785D-07  0.00000000000000D+00
   2  13 -0.49437386184792D-07  0.00000000000000D+00
   3  13 -0.75211987048129D-07  0.00000000000000D+00
   1  14  0.00000000000000D+00  0.00000000000000D+00
   2  14  0.00000000000000D+00  0.00000000000000D+00
   3  14  0.00000000000000D+00  0.00000000000000D+00
   1   1  0.00000000000000D+00  0.00000000000000D+00
   2   1  0.00000000000000D+00  0.00000000000000D+00
